,Species,Range,Range_hosts,Overlap_hosts,Overlap_any_plant
1,Parnassius_mnemosyne,942.768088808187,0,0,942.750729001673
2,Parnassius_apollo,8304.62313380943,49089.1330329218,3417.3004371002,8303.94038999347
3,Parnassius_phoebus,4449.44959077526,46234.0603250699,1845.81173353507,4449.38636863446
4,Iphiclides_podalirius,8004.36366938893,46234.0603250699,5528.6040625518,8004.36105901841
5,Papilio_machaon,38558.9138838198,46234.0603250699,13588.8050248493,38557.5247394934
6,Carcharodus_alceae,2448.37922421816,46234.0603250699,944.002090493554,2448.37917143551
7,Spialia_sertorius,441.427316191119,12735.8326131753,53.7476704043321,441.427245350375
8,Erynnis_tages,3161.27188256474,574.130483278557,16.0964024498943,3161.21296494322
9,Pyrgus_carthami,27.7673920757602,20919.5106524199,15.6096430751816,27.7673870191946
10,Pyrgus_malvae,1814.34646621348,0,0,1814.34558485268
11,Pyrgus_andromedae,207.875838445623,0,0,207.872101365354
12,Pyrgus_cacaliae,881.474296931556,0,0,881.452332985039
13,Pyrgus_serratulae,1607.15759686025,43600.2643570378,1158.39715301948,1607.15559204361
14,Pyrgus_armoricanus,177.789925225643,43600.2643570378,29.8940552792265,177.789924086765
15,Pyrgus_cirsii,0.00101392083313724,43600.2643570378,0.000129629529613355,0.00101392051319573
16,Pyrgus_carlinae,140.316978909114,43600.2643570378,105.721184802191,140.315271923954
17,Pyrgus_alveus,1655.49590439465,43600.2643570378,1186.25974452966,1655.49100155538
18,Heteropterus_morpheus,890.249726195763,43600.2643570378,429.496424827337,890.249658462341
19,Carterocephalus_palaemon,1874.0474894981,43600.2643570378,933.458011734488,1874.04529787951
20,Thymelicus_acteon,5.6738044444514,43600.2643570378,2.00747695687888,5.67380323076799
21,Thymelicus_sylvestris,3372.27890231969,43600.2643570378,1017.99404958085,3372.27759975346
22,Thymelicus_lineola,4128.53869347658,43600.2643570378,2381.51330213193,4128.35978816113
23,Ochlodes_sylvanus,10820.9012108347,43600.2643570378,3188.89926953124,10820.7162547737
24,Hesperia_comma,10103.0393797829,43600.2643570378,6700.61992261601,10103.0263406627
25,Gonepteryx_rhamni,43377.1856612856,464.260318833131,242.62345250268,43377.0382052392
26,Colias_alfacariensis,636.741502812809,464.260318833131,0.157454332924853,636.741403744408
27,Colias_phicomone,5684.66680535574,93749.5543815689,3355.08048341357,5684.58600465743
28,Colias_palaeno,2476.42268342869,3717.7033911053,1.13609044139243,2476.31402123198
29,Anthocharis_cardamines,26656.7450663156,24271.171689934,6642.6461783294,26656.4588568687
30,Aporia_crataegi,16716.4793002626,2053.17375527186,101.107632486417,16715.6811772092
31,Pontia_callidice,3047.48158265109,0,0,3047.28990376179
32,Pieris_brassicae,12706.947920158,33817.3440631914,3991.3612803481,12706.9154342397
33,Pieris_mannii,3615.78761373015,2578.08752214376,0.0228657155106502,3615.77686727261
34,Pieris_bryoniae,4188.56883811533,59998.9044858111,1861.23639385218,4188.48908715695
35,Hamearis_lucina,1384.32673387125,88296.5737697804,1140.08678360063,1384.32636027719
36,Lycaena_phlaeas,5864.77506326952,0,0,5864.77457238427
37,Lycaena_virgaureae,8385.46131342708,36646.309421989,4556.13765838683,8385.41053848365
38,Lycaena_helle,80.1472233434699,0,0,80.1472184137458
39,Lycaena_alciphron,1054.10888250381,7845.01637361621,11.5040302040661,1053.98424952648
40,Lycaena_dispar,54.200781983603,0,0,54.2007818395119
41,Lycaena_hippothoe,2605.69773365318,0,0,2605.693068479
42,Thecla_betulae,2574.15247682713,1082.80601235639,32.9302637759778,2574.15236437809
43,Favonius_quercus,771.661388829634,0,0,771.655269975062
44,Satyrium_w.album,1305.54220126237,45922.0125304076,605.623252386804,1305.53906694669
45,Satyrium_acaciae,0.252291455919026,7689.85184194296,0.00112261971572955,0.252291455912967
46,Satyrium_spini,269.790960533591,52050.7549682232,195.801352131324,269.790884937218
47,Satyrium_ilicis,15.315955563661,34463.7947597777,7.07381569399762,15.3159552497155
48,Lampides_boeticus,355.08834076445,114846.038518508,343.732853549115,355.087895224209
49,Celastrina_argiolus,10473.5453853475,63323.6443263842,4971.42968099657,10473.482166963
50,Phengaris_arion,3717.4636258104,78892.3783543762,2093.2903285292,3717.45054463941
51,Phengaris_teleius,109.500146098936,38043.1483905564,75.5247223861047,109.500138677715
52,Phengaris_nausithous,166.362528760319,30725.5968751209,105.386016717878,166.362519146608
53,Scolitantides_orion,1618.28970894201,114375.393415121,1536.56285583036,1618.28963412458
54,Iolana_iolas,30.8769505780376,0,0,30.8769505776388
55,Glaucopsyche_alexis,565.94038373083,101715.058490057,525.29663840085,565.940287900619
