,Species,Range,Range_hosts,Overlap_hosts,Overlap_any_plant
1,Parnassius_mnemosyne,750.502318683665,0,0,750.488918421767
2,Parnassius_apollo,7169.85788098473,41443.2689527975,2609.10206615466,7169.17194898869
3,Parnassius_phoebus,5719.03643609669,38335.9292068331,1983.46383099306,5718.9630730363
4,Iphiclides_podalirius,3541.35834426689,38335.9292068331,2075.45507599383,3541.35615788891
5,Papilio_machaon,35359.3837783062,38335.9292068331,9946.05789970847,35357.9210267248
6,Carcharodus_alceae,1540.48537511226,38335.9292068331,460.361289132156,1540.48535830474
7,Spialia_sertorius,1183.4669993653,15536.142729291,93.3481334368209,1183.46686251998
8,Erynnis_tages,4014.07442068374,981.288459004072,26.0196808695364,4013.99105070237
9,Pyrgus_carthami,32.5679510046718,20665.6012163847,16.1576367552006,32.5679451319969
10,Pyrgus_malvae,1202.70421137375,0,0,1202.70293872213
11,Pyrgus_andromedae,256.094030434285,0,0,256.090470026196
12,Pyrgus_cacaliae,1888.61133560216,0,0,1888.58318928193
13,Pyrgus_serratulae,1646.49865212358,46662.7312929746,1216.93545395951,1646.49516876623
14,Pyrgus_armoricanus,187.964593176188,46662.7312929746,25.6518964757658,187.964592665354
15,Pyrgus_cirsii,0.00373000085825786,46662.7312929746,0.000383749219030152,0.00373000024744031
16,Pyrgus_carlinae,213.665897437641,46662.7312929746,168.230670721538,213.664062933378
17,Pyrgus_alveus,1504.56507040754,46662.7312929746,1106.01982085143,1504.55900655988
18,Heteropterus_morpheus,446.388800742526,46662.7312929746,185.417004214052,446.388668475236
19,Carterocephalus_palaemon,1945.99552831176,46662.7312929746,843.63715114331,1945.99031805484
20,Thymelicus_acteon,17.0671372695244,46662.7312929746,5.45334347714475,17.0671353524932
21,Thymelicus_sylvestris,5714.34929788875,46662.7312929746,1311.21465525292,5714.34629678935
22,Thymelicus_lineola,4613.98382364532,46662.7312929746,1922.95986669025,4613.77043670824
23,Ochlodes_sylvanus,12349.0384914324,46662.7312929746,2773.87639479326,12348.8507243323
24,Hesperia_comma,9400.19868585131,46662.7312929746,5894.6830672992,9400.17543480544
25,Gonepteryx_rhamni,33582.4045574043,169.843616196179,79.6975556442819,33582.2514715752
26,Colias_alfacariensis,975.306942522447,169.843616196179,0.162774742192135,975.306790537493
27,Colias_phicomone,9169.11080433446,85392.9589493215,5337.61395700896,9169.01596840021
28,Colias_palaeno,3000.18518567575,3792.98121099751,1.66372435558866,3000.06105662929
29,Anthocharis_cardamines,26431.5149902973,25666.3839112474,7306.55322110799,26431.2104317253
30,Aporia_crataegi,13945.1664997641,1776.51979802116,78.8086584461486,13944.312446911
31,Pontia_callidice,7009.22325695284,0,0,7008.98319493428
32,Pieris_brassicae,13403.6530059713,35084.9144260927,5182.08208999217,13403.6164181264
33,Pieris_mannii,1807.88445437358,5960.80119295312,0.0216817493867343,1807.87762667516
34,Pieris_bryoniae,4866.22311744711,58784.3508281191,1759.70983008434,4866.11554110097
35,Hamearis_lucina,1590.5074745127,87071.3050536709,1290.68391118425,1590.50696018035
36,Lycaena_phlaeas,6030.9415626766,0,0,6030.94035755002
37,Lycaena_virgaureae,5383.83961701285,31410.8069400716,2226.41680785394,5383.75419982138
38,Lycaena_helle,197.418469514362,0,0,197.418457186816
39,Lycaena_alciphron,373.979231711776,3905.90195736363,3.40035370812824,373.858093155086
40,Lycaena_dispar,15.8687918838207,0,0,15.8687918833786
41,Lycaena_hippothoe,3218.40780267553,0,0,3218.39839342535
42,Thecla_betulae,2664.26925477309,182.864724879077,7.48823130210644,2664.26915526985
43,Favonius_quercus,371.477731379264,0,0,371.472971829261
44,Satyrium_w.album,631.24819373113,43028.4479081945,308.783071169718,631.244930339627
45,Satyrium_acaciae,0.888303545770006,8606.40580693008,0.00551811821715429,0.888303545766149
46,Satyrium_spini,191.089514018983,51007.7239834366,134.151759149246,191.089415066936
47,Satyrium_ilicis,9.17087806816235,33765.8186484941,4.13065031513953,9.17087770126433
48,Lampides_boeticus,137.308449789337,110811.811982813,132.771792992145,137.308244023756
49,Celastrina_argiolus,5344.99593260502,64953.1071388842,3068.97817267689,5344.94367935882
50,Phengaris_arion,3971.19205735595,76863.0557343241,2017.62387939398,3971.17206604935
51,Phengaris_teleius,17.5546097471225,41019.0298202588,9.86831532707459,17.5546076749256
52,Phengaris_nausithous,141.120281403771,33927.5996201361,78.4358883371054,141.120277436713
53,Scolitantides_orion,310.934742505285,111493.68688625,288.147051787747,310.934639256207
54,Iolana_iolas,5.60277419552148,0,0,5.60277419541597
55,Glaucopsyche_alexis,217.359716029695,95521.6329464243,202.678590187377,217.359643688251
56,Pseudophilotes_baton,179.730676830292,8258.52079627419,12.3726244940043,179.709090996637
57,Leptotes_pirithous,13.4470581865361,23292.248283594,1.02852618355696,13.4470577710735
58,Cupido_argiades,4462.42853193269,0,0,4462.42849903313
59,Cupido_alcetas,1561.15123973219,32222.1313637545,831.847994991054,1561.1481116828
60,Cupido_osiris,80.2603245403677,32222.1313637545,22.3000697873334,80.2603178378589
61,Cupido_minimus,12403.4025821266,8258.52079627419,1907.3815989202,12403.3354415637
62,Plebejus_argus,874.804183916769,0,0,874.656977419302
63,Plebejus_idas,4559.7418856339,0,0,4559.32362573785
64,Plebejus_argyrognomon,0.0246109003198081,0,0,0.0246109002287784
65,Cyaniris_semiargus,16649.1195236151,91849.7252426439,11726.7245963028,16648.8817708305
66,Aricia_nicias,148.99819212916,89859.0149840857,100.192760403321,148.997076210648
67,Aricia_artaxerxes,3571.12696397841,52572.9613901232,1571.99651609783,3571.06752480976
68,Aricia_agestis,1122.80909369856,72189.3559963267,850.966885041832,1122.80908988307
69,Polyommatus_escheri,40.7452018837388,32753.5795935132,24.4948932496127,40.7448640900539
70,Polyommatus_thersites,205.525907734914,0,0,205.525893354499
71,Polyommatus_amandus,346.831350831314,88172.7516914412,322.648329084055,346.831332447243
72,Polyommatus_icarus,28174.4826378775,60700.1768839264,16401.3054613747,28174.4718684194
73,Polyommatus_eros,1951.01242151253,26585.1164851015,52.3255147037356,1950.98670195372
74,Polyommatus_dorylas,552.969633704685,0,0,552.969524343608
75,Polyommatus_damon,1110.27163601814,15406.1204798263,540.984890071907,1110.26766747224
76,Neptis_rivularis,433.565557096643,7319.35194057026,86.3448720400566,433.564926057089
77,Limenitis_populi,623.102849586333,5960.80119295312,0.561251287873691,623.097991816644
78,Limenitis_reducta,232.155463245749,5960.80119295312,0.277504127275644,232.155382948558
79,Limenitis_camilla,5046.83105602654,5960.80119295312,0.00649666561861123,5046.82989660889
