,Species,Range,Range_hosts,Overlap_hosts,Overlap_any_plant
1,Corydalis,9072.74778949615,942.768088808187,44.3191712656143,9056.59075110067
2,Sedum,46234.0603250699,9810.81874713515,4428.47461988051,46175.7685233299
3,Sempervivum,12735.8326131753,8304.62313380943,2074.51363670802,12733.3724995407
4,Rhodiola,574.130483278557,8304.62313380943,82.8800083834186,573.863867179767
5,Saxifraga,43600.2643570378,8304.62313380943,5048.25386545563,43574.2531520754
6,Aristolochia,464.260318833131,8304.62313380943,2.15564888227689,462.842617600198
7,Prunus,56668.8180236699,4449.44959077526,36.9151118862522,56563.1062857881
8,Malus,3717.7033911053,0,0,3713.54268728351
9,Sorbus,24271.171689934,25404.5439042514,8663.10011444274,24263.4791765356
10,Pyrus,2053.17375527186,8004.36366938893,269.289009018272,2050.57266791017
11,Foeniculum,1082.80601235639,23049.7885331755,179.610847248151,1079.2796752299
12,Pastinaca,7845.01637361621,8004.36366938893,1008.0436669062,7828.37085011222
13,Peucedanum,15992.3734801049,38558.9138838198,5140.37133889724,15987.1846898633
14,Pimpinella,17444.7040114897,38558.9138838198,6262.5593617893,17440.1149460022
15,Trinia,3.66730210975416,38558.9138838198,0.831832142035527,3.66423338003466
16,Alcea,659.829531844547,38558.9138838198,185.241861350088,657.766230546553
17,Malva,17303.8210468031,38558.9138838198,5104.99607812196,17271.5771636634
18,Sanguisorba,30725.5968751209,38558.9138838198,9693.65993096357,30696.981333779
19,Stachys,40038.4782362657,38558.9138838198,12646.6045360047,39993.9457446942
20,Lotus,47932.9361084432,38558.9138838198,15466.255025923,47891.4639162373
21,Iberis,246.422461028268,38558.9138838198,77.1023180346309,245.96647968339
22,Coronilla,556.966033903225,38558.9138838198,190.406209293416,556.918954624636
23,Hippocrepis,21239.009863723,38558.9138838198,7383.31475665172,21232.0475836354
24,Potentilla,81591.1520174506,38558.9138838198,25392.0374023321,81504.8986732217
25,Rubus,56645.292953538,2448.37922421816,1497.18135076924,56565.9114809319
26,Fragaria,22068.946341212,2448.37922421816,330.493495236038,22056.1397292263
27,Sibbaldia,2578.08752214376,2051.27605501042,3.3513630419778,2577.2113674139
28,Helianthemum,17082.9415595845,0,0,17080.7231912521
29,Molinia,10949.1325672832,1565.08625188071,339.349841712214,10941.7015220963
30,Calamagrostis,11410.1609414672,0,0,11405.9692087929
31,Cynosurus,8770.44731631994,3161.27188256474,347.049071073424,8767.60335616881
32,Bromus,49304.7316111163,48097.4371929747,21587.5903855453,49233.6370738748
33,Carex,107954.873874399,6747.1575251021,5856.30776797741,107835.447149295
34,Brachypodium,30115.0633971879,6806.794426465,2079.46435623119,30087.1938925049
35,Stipa,461.076687508549,13109.2961995526,52.4429873402934,461.007668520513
36,Elymus,10246.0398417184,3161.27188256474,201.396839964534,10231.2189345426
37,Festuca,61555.815046948,6309.3977278608,3185.73300783323,61498.5281053298
38,Alopecurus,7022.97068332464,0,0,7012.23473276516
39,Anthoxanthum,30866.9781981031,177.789925225643,44.4879168970305,30844.7163967821
40,Dactylis,29808.6037892562,0,0,29773.1940449706
41,Melica,14045.9755611634,207.875838445623,4.50121653664147,14038.8243490228
42,Phleum,17134.7414978828,2455.5055430216,756.777824279961,17128.4964208093
43,Triticum,625.456696399238,1607.15759686025,0.338567997362939,623.747836248952
44,Lolium,17761.795961359,10600.68166179,446.859611011017,17734.5149843737
45,Holcus,18892.4474795523,13205.5487545542,2003.60440908408,18866.9960990088
46,Phalaris,7027.76954909433,18539.8619204903,206.088191953809,7012.25119293877
47,Luzula,43195.4942050854,5575.15027816589,2852.54776783535,43174.6794420944
48,Poa,67107.9704407311,78768.5846672298,41402.8887334226,67019.4776981905
49,Nardus,13662.7053623774,27296.5513980646,8044.84829179206,13660.2207591477
50,Frangula,4393.82497030659,46288.8739379375,1701.77851409831,4386.61222366049
51,Rhamnus,5340.83671754309,736.019917723356,64.6716565072115,5335.76117701484
52,Colutea,1330.18173490282,10825.2980474047,84.524129950642,1327.2374828294
53,Vaccinium,24319.0647544582,61414.4861314021,20741.7256079405,24315.0159088408
54,Biscutella,7810.04135771784,3372.27890231969,117.115517330862,7809.12174292009
55,Cardamine,57489.6388167711,49623.8730772739,17034.5047745504,57402.7607957195
56,Hornungia,115.702455551118,31193.5239207943,20.4020040852071,115.61600526995
57,Alliaria,20082.2872949394,10655.5642059323,707.400804224936,20046.5838893004
58,Arabis,24662.9180477565,3372.27890231969,789.92937526064,24651.57139012
59,Hesperis,1663.48580281498,12922.8540533355,301.92302047337,1662.05356823681
60,Primula,60740.0556790491,14499.4038316865,8024.80854279821,60688.7678394884
61,Rumex,57698.7124306681,10820.9012108347,5642.59339063553,57642.0378883316
62,Quercus,26594.4922392676,20277.4630177185,2262.79370550519,26542.4503061297
63,Cytisus,5343.94528426815,10820.9012108347,910.852143873412,5339.93157238906
64,Genista,5384.31075133062,32752.396748177,1976.33097149522,5382.54393556156
65,Ulmus,15377.9049093788,48683.2364292247,2967.16637083327,15352.742337348
66,Lythrum,12167.5521843105,42507.0825485136,1460.17089760788,12134.8054897587
67,Cornus,38801.1639528577,48502.246322131,22669.3829359602,38719.6918975525
68,Gentiana,39887.116041758,43559.3605154332,4612.48170457764,39876.6761914322
69,Thymus,24245.130197259,3985.56631016685,1379.11766837431,24237.6952380028
70,Medicago,32171.5017723303,2490.85576536117,65.43367365844,32124.1250836654
71,Onobrychis,8202.26188517294,4188.56883811533,143.176809856029,8192.40435192712
72,Melilotus,8534.03000335005,33234.5013868474,2114.85938563125,8520.1706075148
73,Vicia,52101.1396478148,0,0,52032.5856717314
74,Trifolium,88556.1307586362,16716.4793002626,12620.4388220015,88462.4805099393
75,Astragalus,13902.8559780557,7086.2392416384,1245.98033029623,13897.0352385216
76,Oxytropis,3528.56706303654,12706.947920158,64.8219862438532,3527.1777061078
77,Anthyllis,18782.640997401,3615.78761373015,266.340218027235,18775.8711983992
78,Calluna,9620.16933693034,3615.78761373015,46.2921245668762,9618.80200143847
79,Geranium,68509.4726047703,3615.78761373015,2367.80122839598,68425.9777833594
80,Erodium,5914.82510528225,3615.78761373015,358.278413907738,5899.15103717779
81,Lathyrus,38319.0506110683,4188.56883811533,517.196461866679,38286.9238061363
82,Ononis,9951.30238785203,4188.56883811533,44.2284339845384,9944.32939133348
83,Filipendula,14987.8581453589,4188.56883811533,74.3477764748358,14971.8069935619
84,Spiraea,579.452585992593,0,0,577.734369299026
85,Populus,17322.306514275,0,0,17296.3267585646
86,Lonicera,34734.086475228,0,0,34686.6277944156
87,Viola,63954.1908302375,0,0,63892.4673845947
88,Plantago,69208.3021496413,0,0,69134.5422472354
89,Salix,48619.1855428851,1384.32673387125,450.901091603758,48561.841271769
90,Urtica,31786.214961034,15278.9615129718,4651.81684652153,31751.0696668933
91,Echium,13785.1250585189,5348.83038455144,359.632236732157,13767.1591524874
92,Carduus,20120.1790721925,786.342986368366,53.4307197121086,20117.0371783951
93,Cirsium,54522.8092925893,0,0,54483.419681225
94,Humulus,13045.0154593994,3485.2686972394,121.123978194508,13015.0903519553
95,Parietaria,8419.28768056857,0,0,8395.8338633745
96,Celtis,3166.86651995787,20081.3183819406,573.838807359426,3154.70272173099
97,Scabiosa,17020.9242098238,10473.5453853475,808.064804072213,17014.2074445795
98,Succisa,1766.6053192103,10473.5453853475,65.89583027622,1766.21666266467
99,Centaurea,46653.3621808402,0,0,46610.1822639768
100,Linaria,20752.3052919131,0,0,20714.7828330962
101,Verbascum,17948.176248807,4064.37221060662,272.98832636636,17919.8540483038
102,Rhinanthus,19497.213767278,3717.4636258104,1037.99962440694,19487.4880450209
103,Veronica,95121.1261206472,41147.3479720487,33547.3191811779,95004.951476067
104,Valeriana,28462.6779538063,6510.57700432105,1814.99297047062,28450.068563389
105,Digitalis,8738.2742063471,29228.6153786143,2220.73955625852,8735.97706867688
106,Melampyrum,11267.2621917207,19324.3694222985,955.630379187233,11266.1737805375
107,Deschampsia,12152.4012564017,49145.8495609361,4075.18026530069,12147.0963594177
108,Briza,14590.271367456,14489.7131384758,2759.42100512943,14587.2912612091
109,Agrostis,29042.0569241726,11738.5338953864,3856.52277817244,29017.1141813337
110,Eriophorum,7030.56676646699,13943.1941705127,2102.26609302149,7028.17075992981
111,Phragmites,12006.1178345933,3485.2686972394,20.1657418386076,11980.481545233
112,Sesleria,10339.0055708208,3485.2686972394,587.457448861318,10336.8452490583
